-- No Theme --,-- Nici o tema --,module,Magento_Config
-- Please Select --,-- Selectati --,module,Magento_Backend
-- Please Select --,-- Selectati --,module,Magento_Catalog
-- Please select --,-- Selectati --,module,Magento_Catalog
-- Please Select --,-- Selectati --,module,Magento_Cms
-- Please Select --,-- Selectati --,module,Magento_Customer
A class with the same name already exists for ClassType %1.,O clasa cu acelasi nume exista deja pentru Tipul de clasa %1.,module,Magento_Tax
A consumer having the specified key does not exist,Un client cu cheia specificata nu exista,module,Magento_Integration
A consumer with ID %1 does not exist,Nu exista un consumator cu ID-ul %1,module,Magento_Integration
A consumer with the ID %1 does not exist,Consumatorul cu Id-ul %1 nu exista,module,Magento_Integration
A customer website ID must be specified when using the website scope.,Un ID de website al clientului trebuie specificat la folosirea domeniului website-ului.,module,Magento_Customer
A customer with the same email already exists in an associated website.,Un client cu aceeasiadresa de email exista deja într-un website asociat.,module,Magento_Customer
A group with the same name already exists.,Exista deja un grup cu acelasi nume.,module,Magento_Catalog
A hold action is not available.,Actiunea de punere în asteptare nu este disponibila.,module,Magento_Sales
A joined field with this alias is already declared.,Un camp comun cu acest alias este declarat deja.,module,Magento_Eav
A joint field with this alias (%1) is already declared.,Un camp comun cu acest alias (%1) este declarat deja.,module,Magento_Eav
A login and a password are required.,Un nume de utilizator si o parola sunt necesare.,module,Magento_Customer
A name is required.,Un nume este necesar.,module,Magento_Catalog
A payer is not identified.,Un platitor nu este identificat.,module,Magento_Paypal
A payment method is not defined.,Una dintre modalitatile de plata nu este definita.,module,Magento_Multishipping
A PDF object is not specified.,Un obiect PDF nu este specificat.,module,Magento_Sales
A PDF page object is not specified.,Un obiect pagina PDF nu este specificat.,module,Magento_Sales
A positive or negative non-decimal number please,Introduceti numere non-zecimale negative sau pozitive,module,Magento_Ui
A product type is not defined for the indexer.,Un tip de produs nu este definit pentru indexare.,module,Magento_Catalog
A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.,A avut loc o inversare la aceasta tranzactie din cauza unei contestatii a clientului care suspecteaza o imitare neautorizata.,module,Magento_Paypal
